Transaction ID,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Prediction
165,103.0,-6.09324780457494,-12.1142127363483,-5.69497318304808,3.29438945633196,-1.41379209198987,4.77600042454058,4.80842581669219,-0.228197008316221,-0.525895940525179,-1.72489902822119,-0.362818000903783,0.28615530050452,0.487835785527501,1.2599571205769,0.660404704229974,0.455263193477443,-0.497643848526374,0.792268766322312,-0.978442216379243,7.74422243482949,2.22882259543164,-2.26403733889794,-3.55338061765328,1.21527882183022,-0.406072898984334,-0.653384490244203,-0.711222163007979,0.672899853277743,3828.04,Fraud
1633,1264.0,-11.1407063576909,-9.61272620240172,-12.3895452301042,6.01334629438785,-32.0921290046357,21.3930687572539,34.3031768568354,-7.52078427232218,-1.92573155075258,-2.6366220672382,3.70217662877301,-1.84305631781059,2.42712334388741,-1.65283565614104,3.6350415165055,4.08780179147029,-1.65489200469565,-0.888406460757788,0.752276373107714,-11.7486890255326,-4.70997725083696,1.36610996920493,-2.92588754249629,0.843550804290263,0.746267437970709,0.801386918563331,3.85204563850736,4.15793357268519,7712.43,Fraud
2955,2499.0,-5.39019043350815,5.14112719931149,-2.45676022861583,-1.43385119019906,-2.13229877193501,2.69350482894421,-9.7042818609559,-23.1796396659919,-1.74701921380737,-6.04264147579777,-0.995357314283519,3.60707604481239,-1.27816811571343,3.95266350359335,-1.03551563383752,0.43831403096795,1.38181931068275,-0.0774630021754422,-1.54660911614347,5.58058987478186,-11.1024905607,4.35962718456051,1.94390249619071,0.778397304870252,-0.705947643836423,-1.00595721956085,-0.0161544467756771,0.522824290009129,1.0,Fraud
2958,2501.0,-5.94848151780053,5.57323926143616,-2.9320611588846,-1.45030673759756,-2.52196431675486,2.6416573384552,-10.0455404650397,-22.7463699851069,-1.72655903842288,-5.96210897177445,-1.11945472009639,3.77483725309833,-1.21573163612051,4.19701037812223,-1.05925929618841,0.541702336576404,1.54032942570362,-0.0557487739705901,-1.58191296864469,5.59347097188841,-11.0925646207091,4.32755208575265,2.00921386535865,0.774036357690154,-0.630253073606555,-0.99863617569462,-0.03104943146319,0.518083181219281,7.5,Fraud
2964,2507.0,-6.20011365114338,5.02540613543806,-2.74249204006732,-0.940902709363354,-6.65625868406201,5.4322940027945,-9.19817494731319,-22.5885467650709,-3.24429523067372,-5.45333914107993,-1.58229246024541,2.77141495358424,-0.79430335889842,3.18965086450565,-2.35985894746037,2.8257930150028,2.12612840534929,-1.30354211425936,-1.42957061269798,4.5929085315916,-11.2352664915478,4.3938456580686,1.94300233426459,0.846005260558057,-1.3433793456588,-0.707633951620868,-0.210218592136509,0.0665291491040104,544.62,Fraud
4896,4429.0,-5.04347188477683,4.01591369634014,1.99994231741802,-3.4701822150389,1.75548698517417,-0.376547108592116,4.16334274549357,-4.05458150835354,9.27237562555708,11.9363931371426,4.35486453946406,-3.3936344682794,1.30878732125472,-4.63296092425911,0.0919339662681322,-1.39662743826151,-2.64877938473641,-0.501078180102086,-1.2380929101912,5.00697359065344,-2.08536160414541,-0.37710131901928,-0.497720515164203,-0.129580349513982,0.594288892954101,0.243699329312624,-0.1319429562975,-2.5015680157811,0.77,Fraud
5426,5406.0,-8.73342906503845,-5.68195269419018,2.25387895341561,3.93031053573658,-0.916148946037036,4.35529738967978,5.40028557387872,-4.99438277942958,6.81978713796736,6.76485964931351,3.5533358770299,-3.71739075406236,0.665064094474839,-4.49658468190821,-0.533313340383319,-1.1435502102059,-0.777258174476993,-0.988691931407155,0.868137962339537,-5.57150315558411,-2.62688164680259,1.52515768653903,-1.42830173586979,-0.0301807710103637,-0.0294854568141278,-0.264455463750726,-7.97609981777884,4.71256030594157,553.6,Fraud
5828,6301.0,-5.52286113792654,5.06594032814993,-2.42234643742646,-0.739463590739737,-1.71715183591559,4.09858323945043,-10.044004902185,-22.8550509277244,-1.36036391056134,-5.54218749121288,1.10298787384683,0.653399444802654,-0.751400134620691,5.65025131791668,-2.63580536292896,1.37433084082238,1.8949543930641,0.0779307880629291,-2.16796793941393,5.41845154208727,-11.322842025867,3.88068037294065,1.95103829644542,-0.149351678309549,-1.21461922317401,0.662922451623973,-0.115236923361951,0.427905868422662,28.62,Fraud
5917,6517.0,-3.34101597092102,0.576546670757241,2.56191986379701,2.06732040777551,1.35276496492226,2.95653890620556,2.18410226177186,-2.33738546132461,3.56803804922934,4.25484587423304,2.05152778575678,-2.90573056032949,2.17777760140047,-1.88189094405882,0.611005189869526,-2.14244191949994,0.55390449503582,-2.14324181662831,-1.57405985301313,-0.72523581963171,-0.460418812877651,1.43184973083457,-0.309009375370278,-0.934424631360105,-0.938828134211754,-0.328306022548802,-4.91926296078762,-2.13700880456049,109.94,Fraud
6096,6960.0,-3.74156522886511,0.460549162593784,1.83517286670617,1.35993996052589,0.696711747028337,2.69475753872132,1.65130912286275,-2.04189593772082,4.16280947268152,3.73242501169515,2.18736454639618,-2.44802481900656,2.34893219241535,-1.47534965909372,1.64403234243927,-2.92272635484264,1.24499823481779,-1.87849457729577,0.00691747739602,-0.741716126312337,-0.38772776304713,1.55942406216365,-0.597381235806761,-0.893310815281826,-1.00745799466785,-0.563821100732105,-5.1077885805916,-2.19450854109388,119.4,Fraud
6784,8544.0,-6.57133605826113,-11.9438919789798,-4.24632180782397,6.8258164122524,-2.89662355855933,2.70666084649083,5.37392322775258,-0.872186835826038,-0.626203331212906,-0.955355835055368,0.951596284774743,-2.13605516648786,2.35262496745595,2.66986805819472,-1.41291682822606,1.2339898407678,0.0388832222982374,0.915151281152245,-2.34841367007089,7.92214091444184,2.220492527349,-2.39509751550507,-3.7313906943556,-1.01576139492928,-0.74082391847181,-0.297883452890676,-0.79371041692163,0.680622304985665,4002.88,Fraud
6813,8592.0,-23.0668416579257,-25.6405269308442,-3.0803130749704,4.86693238203498,6.90139659984227,-4.07433544928602,2.02734465425838,-2.68865154090037,3.40296581688598,2.88187258522675,3.23683728685072,-2.88936907078608,4.46541317709086,-1.55009632162449,1.92838839314709,3.93088123606666,-1.35259054129564,-0.988007677461713,2.6934205928877,-13.2760343412453,-5.3781062624235,3.31297053672263,13.8762208562493,-0.572177083012791,5.52509270434918,0.90697996084577,3.35882174963842,3.55390585516883,845.73,Fraud
6972,9064.0,-3.49910753739178,0.258555160773118,-4.48955807274398,4.85389435139681,-6.97452154477167,3.62838209065084,5.43127092073166,-1.94673371078472,-0.775680092900109,-1.9877731876087,4.69039566550924,-6.9980424321007,1.45401198637847,-3.73802333366749,0.31774206255503,-2.01354268083989,-5.1361351026702,-1.18382211654359,1.66339401354543,-3.04262575715977,-1.05236825623151,0.204816873569406,-2.11900744010783,0.170278608305444,-0.393844118118335,0.296367194488607,1.98591321801306,-0.900451638402827,1809.68,Fraud
